"","DT_YEAR_COLLISION","DT_MONTH_COLLISION","DT_TIME","YEAR_MONTH_DAY","YEAR_MONTH_DAY_HOUR","TIME_DT","CD_NIS","TX_RGN_COLLISION_NL","TX_PROV_COLLISION_NL","TX_MUNTY_COLLISION_NL","LAT_WGS84","LONG_WGS84","TX_CROSSWAY_NL","TX_WEATHER_NL","TX_ROAD_CONDITION_NL","TX_BUILD_UP_AREA_NL","TX_LIGHT_CONDITION_NL","CD_ROAD_TYPE_NL","TX_CLASS_ACCIDENTS_NL","TX_ROAD_USR_TYPE1_NL","TX_ROAD_USR_TYPE2_NL","TX_COLLISION_TYPE_NL","TX_OBSTACLES_NL","HOUR"
"149","2017","11","18",2017-11-01,2017-11-01 18:00:00,2023-12-12 18:00:00,"25112","Waals Gewest","Provincie Waals-Brabant","Waver",50.713191238,4.60848422600003,"Buiten Kruispunt","Onbekend","Nat, plassen","binnen bebouwde kom","Nacht, openbare verlichting aanwezig en ontstoken","Gewestweg","Met doden","personenauto","Voetganger","Met een voetganger","Geen hindernis","18"
"150","2017","08","18",2017-08-01,2017-08-01 18:00:00,2023-12-12 18:00:00,"61003","Waals Gewest","Provincie Luik","Amay",50.5371481350001,5.28335150100003,"Buiten Kruispunt","Regenval","Nat, plassen","buiten bebouwde kom","Dag","Gewestweg","Met doden","personenauto","personenauto","Tss. 2 best.: langs opzij (voor-/achterkant-flank)","Geen hindernis","18"
"151","2019","07","16",2019-07-01,2019-07-01 16:00:00,2023-12-12 16:00:00,"61003","Waals Gewest","Provincie Luik","Amay",50.54067566,5.28366170800007,"Buiten Kruispunt","Normaal","Proper","buiten bebouwde kom","Dag","Gewestweg","Met doden","personenauto","personenauto","Tussen 2 bestuurders: Frontale botsing","Geen hindernis","16"
"152","2017","07","16",2017-07-01,2017-07-01 16:00:00,2023-12-12 16:00:00,"21015","Brussels Hoofdstedelijk Gewest",NA,"Schaarbeek",50.860638598,4.35968394200006,"Buiten Kruispunt","Normaal","Proper","binnen bebouwde kom","Dag","Gewestweg","Met doden","Autobus","Voetganger","Met een voetganger","Geen hindernis","16"
"153","2017","10","20",2017-10-01,2017-10-01 20:00:00,2023-12-12 20:00:00,"21004","Brussels Hoofdstedelijk Gewest",NA,"Brussel",50.8613953880001,4.35602757300006,"Op Kruispunt","Normaal","Droog","binnen bebouwde kom","Nacht, openbare verlichting aanwezig en ontstoken","Gewestweg","dodelijk gewonden","personenauto","personenauto","Tss. 2 best.: langs opzij (voor-/achterkant-flank)","Geen hindernis","20"
"154","2017","07","14",2017-07-01,2017-07-01 14:00:00,2023-12-12 14:00:00,"11023","Vlaams Gewest","Provincie Antwerpen","Kapellen (Antwerpen)",51.3142736630001,4.42924993900004,"Op Kruispunt","Normaal","Droog","binnen bebouwde kom","Dag","Gewestweg","Met doden","personenauto","Voetganger","Met een voetganger","Geen hindernis","14"
"155","2019","07","12",2019-07-01,2019-07-01 12:00:00,2023-12-12 12:00:00,"11023","Vlaams Gewest","Provincie Antwerpen","Kapellen (Antwerpen)",51.314859417,4.42907245300006,"Buiten Kruispunt","Normaal","Droog","binnen bebouwde kom","Dag","Gemeenteweg","dodelijk gewonden","Voetganger","personenauto","Met een voetganger","Geen hindernis","12"
"156","2017","07","19",2017-07-01,2017-07-01 19:00:00,2023-12-12 19:00:00,"11029","Vlaams Gewest","Provincie Antwerpen","Mortsel",51.1726704430001,4.44584126700005,"Op Kruispunt","Normaal","Droog","binnen bebouwde kom","Dag","Gewestweg","Met doden","Andere weggebruiker","Voetganger","Met een voetganger","Geen hindernis","19"
"157","2019","03","13",2019-03-01,2019-03-01 13:00:00,2023-12-12 13:00:00,"11029","Vlaams Gewest","Provincie Antwerpen","Mortsel",51.1711178400001,4.44832285500007,"Buiten Kruispunt","Normaal","Droog","binnen bebouwde kom","Dag","Gewestweg","Met doden","Vrachtwagen","Voetganger","Met een voetganger","Geen hindernis","13"
"158","2017","08","09",2017-08-01,2017-08-01 09:00:00,2023-12-12 09:00:00,"13031","Vlaams Gewest","Provincie Antwerpen","Oud-Turnhout",51.2939787430001,5.02697708400007,"Buiten Kruispunt","Normaal","Droog","buiten bebouwde kom","Dag","Autosnelweg","Met doden","Lichte vrachtauto","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Andere hindernis","09"
"159","2017","11","01",2017-11-01,2017-11-01 01:00:00,2023-12-12 01:00:00,"13031","Vlaams Gewest","Provincie Antwerpen","Oud-Turnhout",51.2939787430001,5.02697708400007,"Buiten Kruispunt","Regenval","Nat, plassen","buiten bebouwde kom","Nacht, geen openbare verlichting aanwezig","Autosnelweg","dodelijk gewonden","personenauto","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Andere paal","01"
