"","TX_MUNTY_COLLISION_NL","CD_NIS","CD_ROAD_TYPE_NL","_2017","_2018","_2019","_2020","_2022","_2021","Totaal"
"473","Ingelmunster","36007","Gemeenteweg",1,0,0,0,0,0,1
"474","Ingelmunster","36007","Gewestweg",0,2,0,0,0,0,2
"475","Itter","25044","Autosnelweg",1,0,0,1,0,0,2
"476","Itter","25044","Gemeenteweg",0,0,0,0,0,1,0
"477","Itter","25044","Gewestweg",0,0,0,0,0,1,0
"478","Izegem","36008","Gewestweg",1,0,0,0,1,0,2
"479","Jabbeke","31012","Autosnelweg",1,1,0,0,0,0,2
"480","Jabbeke","31012","Gemeenteweg",0,0,0,0,1,0,1
"481","Jabbeke","31012","Gewestweg",0,1,0,0,1,0,2
"482","Jalhay","63038","Autosnelweg",0,1,1,0,1,0,3
"483","Jalhay","63038","Gemeenteweg",0,0,0,0,1,0,1
"484","Jalhay","63038","Gewestweg",2,1,1,1,0,0,5
"485","Jemeppe-sur-Sambre","92140","Autosnelweg",0,1,1,0,0,0,2
"486","Jemeppe-sur-Sambre","92140","Gemeenteweg",0,2,0,0,0,0,2
"487","Jemeppe-sur-Sambre","92140","Gewestweg",1,1,1,0,0,0,3
"488","Jette","21010","Gemeenteweg",0,0,0,1,1,0,2
"489","Juprelle","62060","Autosnelweg",0,0,0,0,0,1,0
"490","Juprelle","62060","Gemeenteweg",0,0,0,0,1,0,1
"491","Juprelle","62060","Gewestweg",0,1,0,0,0,0,1
"492","Jurbeke","53044","Gemeenteweg",1,1,0,0,0,0,2
"493","Jurbeke","53044","Gewestweg",0,0,0,0,0,1,0
"494","Kalmthout","11022","Gewestweg",2,1,0,0,0,1,3
"495","Kampenhout","23038","Gewestweg",0,0,2,0,0,0,2
"496","Kapelle-op-den-Bos","23039","Gemeenteweg",0,1,0,0,0,0,1
"497","Kapellen (Antwerpen)","11023","Gemeenteweg",0,1,1,0,0,0,2
"498","Kapellen (Antwerpen)","11023","Gewestweg",1,0,0,1,0,1,2
"499","Kaprijke","43007","Gemeenteweg",0,0,1,0,0,0,1
"500","Kaprijke","43007","Gewestweg",0,0,0,0,1,2,1
"501","Kasteelbrakel","25015","Autosnelweg",1,2,0,0,0,0,3
"502","Kasteelbrakel","25015","Gemeenteweg",0,0,1,2,0,0,3
"503","Kasterlee","13017","Gemeenteweg",0,0,1,0,1,0,2
"504","Kasterlee","13017","Gewestweg",3,0,3,1,0,1,7
"505","Keerbergen","24048","Gemeenteweg",0,1,0,0,1,1,2
"506","Kelmis","63040","Gemeenteweg",1,0,0,0,0,0,1
"507","Kinrooi","72018","Gewestweg",1,0,1,1,2,3,5
"508","Kluisbergen","45060","Gemeenteweg",0,0,2,0,1,0,3
"509","Knokke-Heist","31043","Gemeenteweg",0,2,0,3,0,0,5
"510","Knokke-Heist","31043","Gewestweg",0,2,0,0,0,1,2
"511","Koekelberg","21011","Gemeenteweg",0,0,2,0,0,0,2
"512","Koksijde","38014","Gemeenteweg",0,1,0,0,0,0,1
"513","Koksijde","38014","Gewestweg",0,0,0,0,1,1,1
"514","Komen-Waasten","57097","Gemeenteweg",0,1,0,2,1,2,4
"515","Komen-Waasten","57097","Gewestweg",2,0,1,0,0,0,3
"516","Kontich","11024","Autosnelweg",0,0,0,0,1,0,1
"517","Kontich","11024","Gemeenteweg",0,0,0,0,1,0,1
"518","Kortemark","32011","Gemeenteweg",1,0,2,0,0,0,3
"519","Kortemark","32011","Gewestweg",0,1,1,0,0,0,2
"520","Kortenaken","24054","Gemeenteweg",0,0,1,0,0,0,1
"521","Kortenberg","24055","Autosnelweg",1,0,0,0,3,1,4
"522","Kortenberg","24055","Gemeenteweg",0,0,0,0,0,1,0
"523","Kortenberg","24055","Gewestweg",0,1,0,0,0,0,1
"524","Kortessem","73040","Gewestweg",0,0,1,0,0,0,1
"525","Kortrijk","34022","Autosnelweg",2,2,1,2,2,4,9
"526","Kortrijk","34022","Gemeenteweg",0,0,1,0,0,3,1
"527","Kortrijk","34022","Gewestweg",0,1,0,1,0,0,2
"528","Kraainem","23099","Autosnelweg",0,0,0,1,1,0,2
"529","Kraainem","23099","Gemeenteweg",0,0,1,0,0,0,1
"530","Kraainem","23099","Gewestweg",0,0,0,0,0,2,0
"531","Kruibeke","46013","Autosnelweg",0,0,1,1,1,1,3
"532","Kruibeke","46013","Gemeenteweg",0,0,0,1,0,1,1
"533","Kruibeke","46013","Gewestweg",1,0,0,1,0,1,2
"534","Kruisem","45068","Autosnelweg",1,1,0,0,0,0,2
"535","Kruisem","45068","Gemeenteweg",0,1,0,0,1,0,2
"536","Kruisem","45068","Gewestweg",0,2,1,0,3,1,6
"537","Kuurne","34023","Gemeenteweg",0,1,0,0,0,0,1
"538","Kuurne","34023","Gewestweg",0,1,0,0,1,0,2
"539","La Bruyère","92141","Autosnelweg",0,1,0,0,1,0,2
"540","La Bruyère","92141","Gemeenteweg",0,0,1,0,0,0,1
"541","La Bruyère","92141","Gewestweg",1,0,0,0,0,1,1
"542","La Louvière","58001","Autosnelweg",0,1,2,0,0,1,3
"543","La Louvière","58001","Gemeenteweg",3,0,3,0,1,0,7
"544","La Louvière","58001","Gewestweg",0,2,0,1,1,0,4
"545","La Roche-en-Ardenne","83031","Gemeenteweg",0,0,0,0,1,0,1
"546","La Roche-en-Ardenne","83031","Gewestweg",2,1,1,1,0,0,5
"547","Laakdal","13053","Autosnelweg",0,0,1,0,0,1,1
"548","Laakdal","13053","Gemeenteweg",0,0,1,0,0,0,1
"549","Laakdal","13053","Gewestweg",0,1,1,0,0,1,2
"550","Laarne","42010","Autosnelweg",1,0,0,0,0,0,1
